ObjectID,district_id,state,district_name,longitude,latitude,new_student_cases,cumulative_student_cases,new_staff_cases,cumulative_staff_cases,other_new,other_cumulative,total_all,Link
679,3103810,NE,BELLEVUE PUBLIC SCHOOLS,-95.927759,41.141475,,,,,,,0,
683,3103990,NE,BENNINGTON PUBLIC SCHOOLS,-96.158433,41.36552,,,,,,,0,
687,3104020,NE,BERTRAND PUBLIC SCHOOLS,-99.633517,40.52271,,,,,,,0,
786,3104100,NE,BLAIR COMMUNITY SCHOOLS,-96.147163,41.554711,,,,,,,0,
788,3104140,NE,BLOOMFIELD COMMUNITY SCHOOLS,-97.641788,42.595285,,,,,,,0,
791,4900030,UT,Alpine District,-111.795856,40.388478,97,116,40,50,,,166,https://alpineschools.org/returntolearn/
534,200510,AK,Matanuska-Susitna Borough School District,-149.619,62.27909,,,,,1,1,1,https://www.matsuk12.us/coronavirus
535,509600,AR,MCCRORY SCHOOL DISTRICT,-91.195751,35.258498,,,,,,1,1,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf
536,510410,AR,NEMO VISTA SCHOOL DISTRICT,-92.56419,35.369073,,,,,,1,1,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf
537,511070,AR,PANGBURN SCHOOL DISTRICT,-91.837273,35.428295,,,,,,1,1,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf
538,504170,AR,WHITE CO. CENTRAL SCHOOL DIST.,-91.676321,35.357683,,,,,,1,1,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf
539,900840,CT,Colchester School District,-72.327767,41.574717,,,,,1,1,1,https://www.colchesterct.org/page.cfm?p=593
540,901560,CT,Farmington School District,-72.868424,41.748386,,,,,1,1,1,https://www.nbcconnecticut.com/news/local/back-to-school/some-schools-in-conn-impacted-closed-today-due-to-covid-19/2333176/
541,901920,CT,Hartford School District,-72.671324,41.768428,1,1,,,1,1,2,https://www.nbcconnecticut.com/news/local/back-to-school/some-schools-in-conn-impacted-closed-today-due-to-covid-19/2333176/
542,905070,CT,Wethersfield School District,-72.657761,41.716585,,,,,1,1,1,https://www.nbcconnecticut.com/news/local/back-to-school/some-schools-in-conn-impacted-closed-today-due-to-covid-19/2333176/
544,1200720,FL,HAMILTON,-82.93011,30.475477,1,1,,,1,1,2,https://www.hamiltonfl.com/2020/9/covid-19-coronavirus-press-release
545,1904080,IA,AHSTW Comm School District,-95.342129,41.470381,,,,,,1,1,
546,1903390,IA,Allamakee Comm School District,-91.490581,43.271969,,,,1,,1,2,https://docs.google.com/spreadsheets/d/1GYfnvBwq2puqJCcWfilDiliCIA68yBYGy4Bcm4HSsrA/edit#gid=133429203
547,1903630,IA,Andrew Comm School District,-90.592955,42.15293,,,,1,,1,2,https://www.andrew.k12.ia.us/news?org=andrew-csd
548,1903780,IA,Ar-We-Va Comm School District,-95.098765,42.075578,,,,,,1,1,https://docs.google.com/document/d/1Z24JZDg2zhAz4W0sOYf5yV7JVmV3PlvbSNXdF4Xv_Qw/edit
549,1903930,IA,Atlantic Comm School District,-95.007493,41.39992,,1,,1,,1,3,
550,1904440,IA,BCLUW Comm School District,-92.871385,42.22627,,,,,,1,1,https://docs.google.com/spreadsheets/d/1ccky8g2pWgg1HHQOzRVQM9X74YebDsSpHXudbYBvDqg/edit#gid=0
551,1906540,IA,Cedar Rapids Comm School District,-91.710555,42.003288,,,,,,1,1,
552,1906750,IA,Centerville Comm School District,-92.871185,40.73068,,2,,,,1,3,https://www.centervilleschools.org/covid-19/
553,1906780,IA,Central City Comm School District,-91.525885,42.208399,,,,,,1,1,https://www.facebook.com/CentralCityCommunitySchool
554,1906810,IA,Central DeWitt School District,-90.541185,41.822265,,20,,4,,1,25,https://www.cd-csd.org/news/
555,1907980,IA,Columbus Comm School District,-91.367455,41.268627,,,,,,1,1,https://www.facebook.com/Columbus-Community-School-District-282657715476391
556,1908070,IA,Coon Rapids-Bayard Comm School District,-94.67757,41.874635,,,,,,1,1,
557,1908940,IA,Denver Comm School District,-92.332105,42.67044,,1,,,,1,2,https://docs.google.com/document/d/1r75FjEzcuSLZRFzJ0wpwtqo1cPYAJJ_RhlrAP2EJ-ME/edit?ts=5f525676
558,1909600,IA,Durant Comm School District,-90.913515,41.603377,,,,,,1,1,https://www.durant.k12.ia.us/domain/1126
559,1910110,IA,East Buchanan Comm School District,-91.736883,42.475853,,,,,,1,1,
560,1911070,IA,Estherville Lincoln Central Com Sch Dist,-94.81772,43.395102,,1,,1,,1,3,https://www.estherville.k12.ia.us/
561,1911340,IA,Fairfield Comm School District,-91.984194,41.003231,,,,,,1,1,https://fairfieldsfuture.socs.net/vnews/display.v/ART/5f52b9f3e0c75?fbclid=IwAR015wdOyGsZULLZz8YzzBb_h4gsjRfQ_km-0GZLIhhtCDEeswOKqAQhx80
562,1913290,IA,Grundy Center Comm School District,-92.779327,42.355721,,,,,,1,1,
563,1913320,IA,Guthrie Center Comm School District,-94.49676,41.668571,,,,,,1,1,
564,1914670,IA,Interstate 35 Comm School District,-93.84555,41.208485,,,,,,1,1,
565,1915330,IA,Jesup Comm School District,-92.064125,42.473135,,,,,,1,1,https://www.jesup.k12.ia.us/district/covid-19-district-communication.aspx?fbclid=IwAR339A9RPwqRBWz1VDL8L4sTYj9iFm74Lgdj8Q4nxWWCwKR8Gh8xgBjF7no
566,1916110,IA,Lake Mills Comm School District,-93.531661,43.415593,,4,,,,1,5,
567,1918480,IA,Maple Valley-Anthon Oto Comm School District,-95.788908,42.161013,,1,,1,,1,3,https://www.facebook.com/MVAOCSD
568,1918120,IA,MFL MarMac Comm School District,-91.391625,43.0501,,,,,,1,1,https://docs.google.com/document/d/1bvdsCZPnIrAagjvq67AAMWmE1nCSlPz0y545pb7C4g8/edit
569,1913110,IA,Nodaway Valley Comm School District,-94.462747,41.309917,,,,,,1,1,
570,1903450,IA,North Butler Comm School District,-92.795485,42.75281,,,,,,1,1,
571,1917100,IA,North Cedar Comm School District,-91.14937,41.891155,,,,,,1,1,
572,1920830,IA,North Kossuth Comm School District,-94.309125,43.38496,,,,,,1,1,
573,1920850,IA,North Mahaska Comm School District,-92.649705,41.46879,,,,,,1,1,
