district_id,state,district_name,longitude,latitude,new_student_cases,cumulative_student_cases,new_staff_cases,cumulative_staff_cases,other_new,other_cumulative,Link
503450,AR,BOONEVILLE SCHOOL DISTRICT,-93.926203,35.144893,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
503480,AR,BRADFORD SCHOOL DISTRICT,-91.45521,35.423391,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
503630,AR,BRINKLEY SCHOOL DISTRICT,-91.195296,34.877472,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
503640,AR,BROOKLAND SCHOOL DISTRICT,-90.582418,35.907615,,,,,10,15,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
503690,AR,BRYANT SCHOOL DISTRICT,-92.492089,34.599804,,42,,8,7,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
503710,AR,BUFFALO IS. CENTRAL SCH. DIST.,-90.345734,35.889205,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
503750,AR,CABOT SCHOOL DISTRICT,-92.006639,34.975181,,26,,5,9,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
503770,AR,CADDO HILLS SCHOOL DISTRICT,-93.631858,34.41948,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
503840,AR,CALICO ROCK SCHOOL DISTRICT,-92.132612,36.123537,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
506060,AR,CAMDEN FAIRVIEW SCHOOL DIST.,-92.838617,33.587142,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
503960,AR,CARLISLE SCHOOL DISTRICT,-91.739702,34.786985,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
504050,AR,CAVE CITY SCHOOL DISTRICT,-91.551245,35.94864,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
500070,AR,CEDAR RIDGE SCHOOL DISTRICT,-91.446094,35.723004,,6,,5,10,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
504080,AR,CEDARVILLE SCHOOL DISTRICT,-94.369499,35.576268,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
506690,AR,CENTERPOINT SCHOOL DISTRICT,-93.511619,34.287476,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
504200,AR,CHARLESTON SCHOOL DISTRICT,-94.039289,35.29961,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
504350,AR,CLARENDON SCHOOL DISTRICT,-91.307699,34.695397,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
504380,AR,CLARKSVILLE SCHOOL DISTRICT,-93.484362,35.461683,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
500067,AR,CLEVELAND COUNTY SCHOOL DIST.,-92.041515,34.00341,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
504410,AR,CLINTON SCHOOL DISTRICT,-92.4606,35.587467,,,,,5,30,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
504560,AR,CONCORD SCHOOL DISTRICT,-91.849092,35.665388,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
504590,AR,CONWAY SCHOOL DISTRICT,-92.457579,35.092157,,,,,11,35,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
500009,AR,CORNING SCHOOL DISTRICT,-90.584435,36.41123,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
500405,AR,COSSATOT RIVER SCHOOL DISTRICT,-94.335992,34.298653,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
504680,AR,COTTER SCHOOL DISTRICT,-92.534175,36.27074,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
504740,AR,COUNTY LINE SCHOOL DISTRICT,-93.917501,35.307274,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
